Filename,Section,Metric,Value
attributes.js,Halstead Metrics,Vocabulary,96
attributes.js,Halstead Metrics,Length,264
attributes.js,Halstead Metrics,Volume,1738.43
attributes.js,Halstead Metrics,Difficulty,12.79
attributes.js,Halstead Metrics,Effort,22227.07
attributes.js,Keyword Frequency,with,1
attributes.js,Keyword Frequency,for,2
attributes.js,General,Average Line Length,26.94
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,227
index.js,LOC Metrics,Blank Lines,42
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,185
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,166
index.js,Halstead Metrics,Total Operators,725
index.js,Halstead Metrics,Total Operands,710
index.js,Halstead Metrics,Vocabulary,182
index.js,Halstead Metrics,Length,1435
index.js,Halstead Metrics,Volume,10773.69
index.js,Halstead Metrics,Difficulty,34.22
index.js,Halstead Metrics,Effort,368641.76
index.js,Keyword Frequency,if,26
index.js,Keyword Frequency,return,16
index.js,Keyword Frequency,else,7
index.js,Keyword Frequency,for,4
index.js,Keyword Frequency,try,1
index.js,General,Average Line Length,36.61
index.js,Results,Final Score,55
index.js,Results,Grade,C

scales.js,LOC Metrics,Total Lines,91
scales.js,LOC Metrics,Blank Lines,16
scales.js,LOC Metrics,Comment Lines,0
scales.js,LOC Metrics,Code Lines,75
scales.js,Halstead Metrics,Unique Operators,12
scales.js,Halstead Metrics,Unique Operands,210
scales.js,Halstead Metrics,Total Operators,924
scales.js,Halstead Metrics,Total Operands,684
scales.js,Halstead Metrics,Vocabulary,222
scales.js,Halstead Metrics,Length,1608
scales.js,Halstead Metrics,Volume,12533.42
scales.js,Halstead Metrics,Difficulty,19.54
scales.js,Halstead Metrics,Effort,244938.85
scales.js,Keyword Frequency,for,2
scales.js,General,Average Line Length,53.13
scales.js,Results,Final Score,55
scales.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,546
index.js,LOC Metrics,Blank Lines,66
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,480
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,589
index.js,Halstead Metrics,Total Operators,2259
index.js,Halstead Metrics,Total Operands,2329
index.js,Halstead Metrics,Vocabulary,605
index.js,Halstead Metrics,Length,4588
index.js,Halstead Metrics,Volume,42396.75
index.js,Halstead Metrics,Difficulty,31.63
index.js,Halstead Metrics,Effort,1341148.15
index.js,Keyword Frequency,for,16
index.js,Keyword Frequency,if,54
index.js,Keyword Frequency,else,16
index.js,Keyword Frequency,return,28
index.js,Keyword Frequency,try,1
index.js,Keyword Frequency,with,2
index.js,General,Average Line Length,37.90
index.js,Results,Final Score,55
index.js,Results,Grade,C

symbol_defs.js,LOC Metrics,Total Lines,474
symbol_defs.js,LOC Metrics,Blank Lines,5
symbol_defs.js,LOC Metrics,Comment Lines,0
symbol_defs.js,LOC Metrics,Code Lines,469
symbol_defs.js,Halstead Metrics,Unique Operators,11
symbol_defs.js,Halstead Metrics,Unique Operands,208
symbol_defs.js,Halstead Metrics,Total Operators,2143
symbol_defs.js,Halstead Metrics,Total Operands,1894
symbol_defs.js,Halstead Metrics,Vocabulary,219
symbol_defs.js,Halstead Metrics,Length,4037
symbol_defs.js,Halstead Metrics,Volume,31386.82
symbol_defs.js,Halstead Metrics,Difficulty,50.08
symbol_defs.js,Halstead Metrics,Effort,1571906.04
symbol_defs.js,Keyword Frequency,return,45
symbol_defs.js,General,Average Line Length,28.61
symbol_defs.js,Results,Final Score,55
symbol_defs.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,138
attributes.js,LOC Metrics,Blank Lines,7
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,131
attributes.js,Halstead Metrics,Unique Operators,12
attributes.js,Halstead Metrics,Unique Operands,116
attributes.js,Halstead Metrics,Total Operators,205
attributes.js,Halstead Metrics,Total Operands,411
attributes.js,Halstead Metrics,Vocabulary,128
attributes.js,Halstead Metrics,Length,616
attributes.js,Halstead Metrics,Volume,4312.00
attributes.js,Halstead Metrics,Difficulty,21.26
attributes.js,Halstead Metrics,Effort,91667.17
attributes.js,Keyword Frequency,with,1
attributes.js,Keyword Frequency,for,4
attributes.js,Keyword Frequency,if,4
attributes.js,General,Average Line Length,30.05
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,331
index.js,LOC Metrics,Blank Lines,47
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,284
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,293
index.js,Halstead Metrics,Total Operators,1133
index.js,Halstead Metrics,Total Operands,1169
index.js,Halstead Metrics,Vocabulary,309
index.js,Halstead Metrics,Length,2302
index.js,Halstead Metrics,Volume,19040.91
index.js,Halstead Metrics,Difficulty,31.92
index.js,Halstead Metrics,Effort,607749.39
index.js,Keyword Frequency,return,11
index.js,Keyword Frequency,if,44
index.js,Keyword Frequency,else,4
index.js,Keyword Frequency,for,4
index.js,Keyword Frequency,except,1
index.js,Keyword Frequency,try,1
index.js,Keyword Frequency,class,1
index.js,General,Average Line Length,39.47
index.js,Results,Final Score,55
index.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,105
attributes.js,LOC Metrics,Blank Lines,8
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,97
attributes.js,Halstead Metrics,Unique Operators,13
attributes.js,Halstead Metrics,Unique Operands,123
attributes.js,Halstead Metrics,Total Operators,195
attributes.js,Halstead Metrics,Total Operands,328
attributes.js,Halstead Metrics,Vocabulary,136
attributes.js,Halstead Metrics,Length,523
attributes.js,Halstead Metrics,Volume,3706.74
attributes.js,Halstead Metrics,Difficulty,17.33
attributes.js,Halstead Metrics,Effort,64250.21
attributes.js,Keyword Frequency,if,1
attributes.js,General,Average Line Length,31.86
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,678
index.js,LOC Metrics,Blank Lines,110
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,568
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,468
index.js,Halstead Metrics,Total Operators,2499
index.js,Halstead Metrics,Total Operands,2321
index.js,Halstead Metrics,Vocabulary,484
index.js,Halstead Metrics,Length,4820
index.js,Halstead Metrics,Volume,42988.92
index.js,Halstead Metrics,Difficulty,39.68
index.js,Halstead Metrics,Effort,1705594.62
index.js,Keyword Frequency,for,9
index.js,Keyword Frequency,if,52
index.js,Keyword Frequency,return,18
index.js,Keyword Frequency,else,14
index.js,Keyword Frequency,class,5
index.js,General,Average Line Length,39.61
index.js,Results,Final Score,55
index.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,672
index.js,LOC Metrics,Blank Lines,97
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,575
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,457
index.js,Halstead Metrics,Total Operators,1602
index.js,Halstead Metrics,Total Operands,1853
index.js,Halstead Metrics,Vocabulary,473
index.js,Halstead Metrics,Length,3455
index.js,Halstead Metrics,Volume,30700.08
index.js,Halstead Metrics,Difficulty,32.44
index.js,Halstead Metrics,Effort,995838.08
index.js,Keyword Frequency,for,11
index.js,Keyword Frequency,if,32
index.js,Keyword Frequency,return,13
index.js,Keyword Frequency,else,11
index.js,Keyword Frequency,with,2
index.js,General,Average Line Length,34.23
index.js,Results,Final Score,55
index.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,143
attributes.js,LOC Metrics,Blank Lines,15
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,128
attributes.js,Halstead Metrics,Unique Operators,13
attributes.js,Halstead Metrics,Unique Operands,230
attributes.js,Halstead Metrics,Total Operators,316
attributes.js,Halstead Metrics,Total Operands,574
attributes.js,Halstead Metrics,Vocabulary,243
attributes.js,Halstead Metrics,Length,890
attributes.js,Halstead Metrics,Volume,7053.08
attributes.js,Halstead Metrics,Difficulty,16.22
attributes.js,Halstead Metrics,Effort,114413.27
attributes.js,Keyword Frequency,with,2
attributes.js,Keyword Frequency,for,6
attributes.js,General,Average Line Length,37.45
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,473
index.js,LOC Metrics,Blank Lines,68
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,405
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,442
index.js,Halstead Metrics,Total Operators,1753
index.js,Halstead Metrics,Total Operands,1819
index.js,Halstead Metrics,Vocabulary,458
index.js,Halstead Metrics,Length,3572
index.js,Halstead Metrics,Volume,31573.64
index.js,Halstead Metrics,Difficulty,32.92
index.js,Halstead Metrics,Effort,1039501.24
index.js,Keyword Frequency,for,13
index.js,Keyword Frequency,return,27
index.js,Keyword Frequency,if,48
index.js,Keyword Frequency,else,12
index.js,Keyword Frequency,except,2
index.js,General,Average Line Length,38.56
index.js,Results,Final Score,55
index.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,313
index.js,LOC Metrics,Blank Lines,28
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,285
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,317
index.js,Halstead Metrics,Total Operators,1053
index.js,Halstead Metrics,Total Operands,1120
index.js,Halstead Metrics,Vocabulary,333
index.js,Halstead Metrics,Length,2173
index.js,Halstead Metrics,Volume,18208.39
index.js,Halstead Metrics,Difficulty,28.26
index.js,Halstead Metrics,Effort,514659.83
index.js,Keyword Frequency,if,25
index.js,Keyword Frequency,return,3
index.js,Keyword Frequency,else,10
index.js,Keyword Frequency,class,5
index.js,Keyword Frequency,with,3
index.js,Keyword Frequency,for,2
index.js,General,Average Line Length,38.11
index.js,Results,Final Score,55
index.js,Results,Grade,C

geo_constants.js,LOC Metrics,Total Lines,155
geo_constants.js,LOC Metrics,Blank Lines,19
geo_constants.js,LOC Metrics,Comment Lines,0
geo_constants.js,LOC Metrics,Code Lines,136
geo_constants.js,Halstead Metrics,Unique Operators,12
geo_constants.js,Halstead Metrics,Unique Operands,192
geo_constants.js,Halstead Metrics,Total Operators,300
geo_constants.js,Halstead Metrics,Total Operands,394
geo_constants.js,Halstead Metrics,Vocabulary,204
geo_constants.js,Halstead Metrics,Length,694
geo_constants.js,Halstead Metrics,Volume,5324.66
geo_constants.js,Halstead Metrics,Difficulty,12.31
geo_constants.js,Halstead Metrics,Effort,65559.92
geo_constants.js,Keyword Frequency,for,2
geo_constants.js,Keyword Frequency,with,2
geo_constants.js,General,Average Line Length,28.57
geo_constants.js,Results,Final Score,55
geo_constants.js,Results,Grade,C

mathjax_config.js,LOC Metrics,Total Lines,30
mathjax_config.js,LOC Metrics,Blank Lines,5
mathjax_config.js,LOC Metrics,Comment Lines,0
mathjax_config.js,LOC Metrics,Code Lines,25
mathjax_config.js,Halstead Metrics,Unique Operators,13
mathjax_config.js,Halstead Metrics,Unique Operands,48
mathjax_config.js,Halstead Metrics,Total Operators,60
mathjax_config.js,Halstead Metrics,Total Operands,62
mathjax_config.js,Halstead Metrics,Vocabulary,61
mathjax_config.js,Halstead Metrics,Length,122
mathjax_config.js,Halstead Metrics,Volume,723.55
mathjax_config.js,Halstead Metrics,Difficulty,8.40
mathjax_config.js,Halstead Metrics,Effort,6074.80
mathjax_config.js,Keyword Frequency,if,1
mathjax_config.js,Keyword Frequency,else,1
mathjax_config.js,General,Average Line Length,23.96
mathjax_config.js,Results,Final Score,65
mathjax_config.js,Results,Grade,B-

attributes.js,LOC Metrics,Total Lines,100
attributes.js,LOC Metrics,Blank Lines,2
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,98
attributes.js,Halstead Metrics,Unique Operators,12
attributes.js,Halstead Metrics,Unique Operands,136
attributes.js,Halstead Metrics,Total Operators,147
attributes.js,Halstead Metrics,Total Operands,285
attributes.js,Halstead Metrics,Vocabulary,148
attributes.js,Halstead Metrics,Length,432
attributes.js,Halstead Metrics,Volume,3114.48
attributes.js,Halstead Metrics,Difficulty,12.57
attributes.js,Halstead Metrics,Effort,39160.05
attributes.js,Keyword Frequency,for,2
attributes.js,Keyword Frequency,with,1
attributes.js,General,Average Line Length,28.73
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

font_attributes.js,LOC Metrics,Total Lines,38
font_attributes.js,LOC Metrics,Blank Lines,2
font_attributes.js,LOC Metrics,Comment Lines,0
font_attributes.js,LOC Metrics,Code Lines,36
font_attributes.js,Halstead Metrics,Unique Operators,12
font_attributes.js,Halstead Metrics,Unique Operands,116
font_attributes.js,Halstead Metrics,Total Operators,93
font_attributes.js,Halstead Metrics,Total Operands,167
font_attributes.js,Halstead Metrics,Vocabulary,128
font_attributes.js,Halstead Metrics,Length,260
font_attributes.js,Halstead Metrics,Volume,1820.00
font_attributes.js,Halstead Metrics,Difficulty,8.64
font_attributes.js,Halstead Metrics,Effort,15721.03
font_attributes.js,Keyword Frequency,if,2
font_attributes.js,General,Average Line Length,37.39
font_attributes.js,Results,Final Score,65
font_attributes.js,Results,Grade,B-

layout_attributes.js,LOC Metrics,Total Lines,204
layout_attributes.js,LOC Metrics,Blank Lines,7
layout_attributes.js,LOC Metrics,Comment Lines,0
layout_attributes.js,LOC Metrics,Code Lines,197
layout_attributes.js,Halstead Metrics,Unique Operators,12
layout_attributes.js,Halstead Metrics,Unique Operands,219
layout_attributes.js,Halstead Metrics,Total Operators,308
layout_attributes.js,Halstead Metrics,Total Operands,527
layout_attributes.js,Halstead Metrics,Vocabulary,231
layout_attributes.js,Halstead Metrics,Length,835
layout_attributes.js,Halstead Metrics,Volume,6556.21
layout_attributes.js,Halstead Metrics,Difficulty,14.44
layout_attributes.js,Halstead Metrics,Effort,94660.90
layout_attributes.js,Keyword Frequency,if,2
layout_attributes.js,Keyword Frequency,with,1
layout_attributes.js,General,Average Line Length,27.94
layout_attributes.js,Results,Final Score,55
layout_attributes.js,Results,Grade,C

plots.js,LOC Metrics,Total Lines,969
plots.js,LOC Metrics,Blank Lines,154
plots.js,LOC Metrics,Comment Lines,0
plots.js,LOC Metrics,Code Lines,815
plots.js,Halstead Metrics,Unique Operators,16
plots.js,Halstead Metrics,Unique Operands,844
plots.js,Halstead Metrics,Total Operators,2964
plots.js,Halstead Metrics,Total Operands,3688
plots.js,Halstead Metrics,Vocabulary,860
plots.js,Halstead Metrics,Length,6652
plots.js,Halstead Metrics,Volume,64844.98
plots.js,Halstead Metrics,Difficulty,34.96
plots.js,Halstead Metrics,Effort,2266808.36
plots.js,Keyword Frequency,for,35
plots.js,Keyword Frequency,if,113
plots.js,Keyword Frequency,return,36
plots.js,Keyword Frequency,with,5
plots.js,Keyword Frequency,else,13
plots.js,Keyword Frequency,class,1
plots.js,Keyword Frequency,try,1
plots.js,General,Average Line Length,39.39
plots.js,Results,Final Score,55
plots.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,35
attributes.js,LOC Metrics,Blank Lines,2
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,33
attributes.js,Halstead Metrics,Unique Operators,12
attributes.js,Halstead Metrics,Unique Operands,61
attributes.js,Halstead Metrics,Total Operators,62
attributes.js,Halstead Metrics,Total Operands,128
attributes.js,Halstead Metrics,Vocabulary,73
attributes.js,Halstead Metrics,Length,190
attributes.js,Halstead Metrics,Volume,1176.07
attributes.js,Halstead Metrics,Difficulty,12.59
attributes.js,Halstead Metrics,Effort,14806.87
attributes.js,Keyword Frequency,None,0
attributes.js,General,Average Line Length,31.18
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

axes.js,LOC Metrics,Total Lines,2689
axes.js,LOC Metrics,Blank Lines,339
axes.js,LOC Metrics,Comment Lines,0
axes.js,LOC Metrics,Code Lines,2350
axes.js,Halstead Metrics,Unique Operators,16
axes.js,Halstead Metrics,Unique Operands,1525
axes.js,Halstead Metrics,Total Operators,9892
axes.js,Halstead Metrics,Total Operands,10947
axes.js,Halstead Metrics,Vocabulary,1541
axes.js,Halstead Metrics,Length,20839
axes.js,Halstead Metrics,Volume,220677.74
axes.js,Halstead Metrics,Difficulty,57.43
axes.js,Halstead Metrics,Effort,12672835.27
axes.js,Keyword Frequency,for,113
axes.js,Keyword Frequency,if,363
axes.js,Keyword Frequency,else,106
axes.js,Keyword Frequency,return,146
axes.js,Keyword Frequency,with,18
axes.js,Keyword Frequency,try,2
axes.js,Keyword Frequency,except,4
axes.js,Keyword Frequency,while,3
axes.js,Keyword Frequency,class,1
axes.js,General,Average Line Length,39.86
axes.js,Results,Final Score,55
axes.js,Results,Grade,C

graph_interact.js,LOC Metrics,Total Lines,2184
graph_interact.js,LOC Metrics,Blank Lines,294
graph_interact.js,LOC Metrics,Comment Lines,0
graph_interact.js,LOC Metrics,Code Lines,1890
graph_interact.js,Halstead Metrics,Unique Operators,16
graph_interact.js,Halstead Metrics,Unique Operands,1376
graph_interact.js,Halstead Metrics,Total Operators,7495
graph_interact.js,Halstead Metrics,Total Operands,8598
graph_interact.js,Halstead Metrics,Vocabulary,1392
graph_interact.js,Halstead Metrics,Length,16093
graph_interact.js,Halstead Metrics,Volume,168058.29
graph_interact.js,Halstead Metrics,Difficulty,49.99
graph_interact.js,Halstead Metrics,Effort,8400960.32
graph_interact.js,Keyword Frequency,return,82
graph_interact.js,Keyword Frequency,if,245
graph_interact.js,Keyword Frequency,for,82
graph_interact.js,Keyword Frequency,else,60
graph_interact.js,Keyword Frequency,with,19
graph_interact.js,Keyword Frequency,while,2
graph_interact.js,Keyword Frequency,except,2
graph_interact.js,Keyword Frequency,class,3
graph_interact.js,General,Average Line Length,39.81
graph_interact.js,Results,Final Score,55
graph_interact.js,Results,Grade,C

layout_attributes.js,LOC Metrics,Total Lines,462
layout_attributes.js,LOC Metrics,Blank Lines,5
layout_attributes.js,LOC Metrics,Comment Lines,0
layout_attributes.js,LOC Metrics,Code Lines,457
layout_attributes.js,Halstead Metrics,Unique Operators,13
layout_attributes.js,Halstead Metrics,Unique Operands,378
layout_attributes.js,Halstead Metrics,Total Operators,930
layout_attributes.js,Halstead Metrics,Total Operands,1755
layout_attributes.js,Halstead Metrics,Vocabulary,391
layout_attributes.js,Halstead Metrics,Length,2685
layout_attributes.js,Halstead Metrics,Volume,23120.60
layout_attributes.js,Halstead Metrics,Difficulty,30.18
layout_attributes.js,Halstead Metrics,Effort,697746.73
layout_attributes.js,Keyword Frequency,for,13
layout_attributes.js,Keyword Frequency,if,7
layout_attributes.js,Keyword Frequency,with,9
layout_attributes.js,General,Average Line Length,34.74
layout_attributes.js,Results,Final Score,55
layout_attributes.js,Results,Grade,C

geo.js,LOC Metrics,Total Lines,440
geo.js,LOC Metrics,Blank Lines,91
geo.js,LOC Metrics,Comment Lines,0
geo.js,LOC Metrics,Code Lines,349
geo.js,Halstead Metrics,Unique Operators,16
geo.js,Halstead Metrics,Unique Operands,329
geo.js,Halstead Metrics,Total Operators,1170
geo.js,Halstead Metrics,Total Operands,1261
geo.js,Halstead Metrics,Vocabulary,345
geo.js,Halstead Metrics,Length,2431
